Date,Close,Volume
38282,1095.74,1469600000
38281,1106.49,1673000000
38280,1103.66,1685700000
38279,1103.23,1737500000
38278,1114.02,1373300000
38275,1108.2,1645100000
38274,1103.29,1489500000
38273,1113.65,1546200000
38272,1121.84,1320100000
38271,1124.39,943800000
38268,1122.14,1291600000
38267,1130.65,1447500000
38266,1142.05,1416700000
38265,1134.48,1418400000
38264,1135.17,1534000000
38261,1131.5,1582200000
38260,1114.58,1748000000
38259,1114.8,1402900000
38258,1110.06,1396600000
38257,1103.52,1263500000
38254,1110.11,1255400000
38253,1108.36,1286300000
38252,1113.56,1379900000
38251,1129.3,1325000000
38250,1122.2,1197600000
38247,1128.55,1422600000
38246,1123.5,1113900000
38245,1120.37,1256000000
38244,1128.33,1204500000
38243,1125.82,1299800000
38240,1123.92,1261200000
38239,1118.38,1371300000
38238,1116.27,1246300000
38237,1121.3,1214400000
38233,1113.63,924170000
38232,1118.31,1118400000
38231,1105.91,1142100000
38230,1104.24,1138200000
38229,1099.15,843100000
38226,1107.77,845400000
38225,1105.09,1023600000
38224,1104.96,1192200000
38223,1096.19,1092500000
38222,1095.68,1021900000
38219,1098.35,1199900000
38218,1091.23,1249400000
38217,1095.17,1282500000
38216,1081.71,1267800000
38215,1079.34,1206200000
38212,1064.8,1175100000
38211,1063.23,1405100000
38210,1075.79,1410400000
38209,1079.04,1245600000
38208,1065.22,1086000000
38205,1063.97,1521000000
38204,1080.7,1397400000
38203,1098.63,1369200000
38202,1099.69,1338300000
38201,1106.62,1276000000
38198,1101.72,1298200000
38197,1100.43,1530100000
38196,1095.42,1554300000
38195,1094.83,1610800000
38194,1084.07,1413400000
38191,1086.2,1337500000
